Label,author,conditions,lock,weight,question,yes_answer,yes_response,Morale,Quality,Schedule,Budget,yes_outcome,no_answer,no_response,Morale,Quality,Schedule,Budget,no_outcome,Author
,PROGRAMMER,,200,50,We've got a ton of bugs we need to sort through! It's never ending.,Fix em!,I'm on it!,-10,30,-20,0,,Who cares?,"I care! Whatever, you're the game director.",,-10,,5,,Gabriel
,ARTIST,,200,50,I don't like the direction of our art style. We need to redo it.,Do it.,Thank you! This game is gonna look great!,0,20,-20,0,,We can't...,Bummer.,,-10,,5,,Gabriel
,DESIGNER,,200,50,It's taking too much time to make all these levels. Can we cut back the scale of the game?,Sure,"Cutting content hurts, but it'll make the game better.",10,0,10,0,,Nope.,But it's so much work!,,,,-10,,Gabriel
,SOUND DESIGNER,,200,50,We need a new sound studio to record our SFX. How 'bout it?,Lets do it,Oooohh! My dreams have come true!,0,20,0,-40,,Too expensive.,"And once again, sound takes a backseat. You'll regret it!",,-5,-5,,20,Gabriel
,PRODUCER,stats.budget >= 70,200,50,The project is under budget. Should we splurge and do something nice for the team?,Pizza Party!,Woot! Woot!,20,0,0,-20,,Let's be frugal.,Very good.,-5,,,,5,Gabriel
,PRODUCER,stats.time >= 70,200,50,The project is ahead of schedule. Should we let the team take some time off?,They've earned it.,"Vacation, here I come!",30,0,-20,0,,Get back to work!,Rude.,-10,,,5,,Gabriel
,PROGRAMMER,programmer_ate_pudding == false;,200,50,I found this pudding in the fridge. I want to eat it. I should it eat it. Can I eat it?,Go for it,So delicious!,10,0,0,0,programmer_ate_pudding = true;,Maybe don't.,I guess you're right.,-5,,,,,Gabriel
,ARTIST,programmer_ate_pudding == true;,200,50,Did you seriously let the engineer eat my pudding from the fridge!? How could you!?,I'll buy you another,And it better be the same brand of pudding.,10,0,0,0,,Get over it!,Oh! I will have my revenge. Just you wait.,-10,-5,,,,Gabriel
,PRODUCER,stats.budget <= 30,200,50,We are extremely overbudget! We need to lay some staff off.,Do it,I hate this part of the job.,0,0,0,0,,Never!,I'm sure the team will appreciate it.,,,,,,Gabriel
,ARTIST,,200,50,How much should we invest in the fidelity of our art.,We need the best graphics.,I agree.,10,20,-10,-10,,Graphics aren't important.,Bummer.,,-10,5,5,,Gabriel
,PROGRAMMER,,200,50,I'm superior to all the other programmers on the team! Wouldn't you agree?,Of course you are,"And by your own admission, I deserve a raise.",-10,0,0,-10,,Absolutely not!,Hmmmm. Well then maybe I should quit.,5,-5,,,,
,DESIGNER,,200,50,The moment-to-moment gameplay is boring. We need more juice in our game.,You're right!,I'll spend a week getting things in tip-top shape.,0,10,0,-20,,Not now.,Ok. I hope players enjoy a boring game.,,-5,,,,
,PRODUCER,,200,50,The engineers are arguing again. Productivity is dropping.,Let them argue,They're all adults. They should be able to sort it out themselves.,-10,0,10,0,,Sort it out,Ugh. Why am I always having to babysit everyone.,5,,-5,-5,,
,QA LEAD,,200,50,"Playtsters are reporting some sort of rare glitch, but it is really rare. Worth looking into?",Focus on quality despite the cost.,"Smart choice. if there's a glitch, everyone will find out about it.",6,24,-50,60,qa_intense = true;,The cost is too high for a rare bug.,Smart choice: better to focus on the stuff most people see.,3,-25,20,-15,qa_gaveup = true;,
,QA LEAD,qa_intense == true;,200,50,"Been trying find that glitch, but we can't reproduce the bug! Should we move on?","Yes, mark as WONTFIX","The glitch is going to haunt me, gnawing away in the back of my mind, but ok.",-40,-20,2,0,qa_gaveup = true;,"No, keep going, do not give up!","It'll take forever to find! Oh well, at least I'll be able to sleep at night.",,,,,,
,QA LEAD,qa_gaveup == true;,200,50,I've been having trouble sleeping. I keep thinking about that glitch...,Don't worry so much!,I guess you're right - we have other tasks to take care of anyways.,0,0,0,0,,Maybe we should try looking for it again.,Thank you! I need to get to the bottom if this!,,,,,,
,QA LEAD,,200,50,"I put in more hours than anyone around here, but I get no respect!",But you're ONLY a tester.,That hurts! This is very technical and hard work...,-10,-10,-2,0,,You are just as important as a coder.,Thank you! Together we make a great team.,5,15,,,,
,QA LEAD,,200,50,I'm so burnt out! I've played the latest 74 times this week.,How about a pizza party this Friday?,That would be so fun! We could all use a break!,20,-2,2,-2,,We need you to come in this weekend.,"My brain is going to explode, but I'll try my best to focus.",-24,11,-10,4,,
